"X","Y","Z"
2680730.35,1247865.84,415.67
2680730.3,1247866.2,416.21
2680730.26,1247866.61,416.59
2680725.94,1247866.54,412.31
2680730.18,1247866.3,415.79
2680730.08,1247866.58,416.62
2680730.26,1247865.82,415.64
2680730.17,1247866.08,415.99
2680730.1,1247864.57,415.45
2680730.22,1247866.53,416.62
2680730.16,1247864.76,415.49
2680730.08,1247866.26,416.61
2680730.06,1247864.77,415.42
2680730.33,1247866.12,416.13
2680730.33,1247864.78,415.41
2680726.2,1247864.55,412.31
2680728.26,1247867.18,412.32
2680725.17,1247858.17,412.32
2680725.51,1247863.77,412.32
2680725.47,1247863.17,412.3
2680725.44,1247862.65,412.32
2680725.37,1247861.56,412.3
2680725.33,1247860.97,412.31
2680725.3,1247860.39,412.31
2680725.27,1247859.85,412.3
2680725.2,1247858.71,412.31
2680725.9,1247861.66,412.3
2680725.8,1247859.99,412.3
2680725.62,1247857.21,412.3
2680726.37,1247861.72,412.3
2680726.25,1247859.51,412.3
2680726.21,1247858.89,412.36
2680726.18,1247858.34,412.3
2680726.14,1247857.78,412.3
2680726.1,1247857.22,412.31
2680726.58,1247859.99,412.32
2680726.55,1247859.45,412.33
2680726.45,1247857.78,412.32
2680726.37,1247856.65,412.31
2680727.17,1247860.76,412.33
2680727,1247857.97,412.32
2680726.97,1247857.42,412.32
2680727.56,1247859.81,412.31
2680727.46,1247858.11,412.31
2680727.39,1247857.04,412.3
2680727.87,1247857.68,412.3
2680728.55,1247861.6,412.31
2680730.35,1247864.31,415.68
2680725.33,1247860.23,412.3
2680725.21,1247861.22,412.3
2680726.72,1247860.42,412.3
2680725.55,1247856.85,412.3
2680726.1,1247861.32,412.3
2680726.33,1247858.96,412.31
2680726.29,1247856.96,412.3
2680729.51,1247858.5,412.31
2680725.33,1247857.43,412.3
2680727.52,1247857.28,412.31
2680727.55,1247857.8,412.3
2680727,1247858.17,412.3
2680727.08,1247859.67,412.3
2680727.1,1247860.18,412.3
2680727.14,1247860.71,412.32
2680727.92,1247857.46,412.3
2680725.24,1247861.84,412.3
2680725.93,1247860.97,412.35
2680726.7,1247862.04,412.32
2680727.33,1247861.16,412.41
2680727.48,1247857.33,412.3
2680728.2,1247861.77,412.32
2680730.1,1247864.25,415.61
2680730.37,1247864.3,415.68
2680725.41,1247857.1,412.35
2680725.42,1247857.74,412.3
2680725.43,1247858.35,412.33
2680725.45,1247858.96,412.3
2680725.46,1247859.57,412.31
2680725.47,1247860.26,412.34
2680725.48,1247860.9,412.34
2680725.49,1247861.55,412.38
2680725.51,1247862.16,412.31
2680725.52,1247862.79,412.32
2680725.53,1247863.39,412.33
2680726.06,1247856.97,412.32
2680726.06,1247857.6,412.33
2680726.08,1247858.2,412.31
2680726.08,1247858.88,412.33
2680726.1,1247859.53,412.35
2680726.12,1247860.14,412.31
2680726.12,1247860.8,412.32
2680726.14,1247861.42,412.34
2680726.15,1247862.02,412.33
2680726.18,1247863.28,412.3
2680727.54,1247862.77,412.36
2680726.89,1247856.9,412.3
2680726.9,1247857.59,412.34
2680726.91,1247858.26,412.33
2680726.93,1247858.83,412.3
2680726.94,1247859.51,412.3
2680726.95,1247860.14,412.34
2680726.95,1247860.78,412.37
2680726.97,1247861.32,412.3
2680726.99,1247862.01,412.3
2680727.02,1247863.9,412.3
2680727.43,1247857.08,412.35
2680727.44,1247857.67,412.36
2680727.46,1247858.35,412.34
2680727.47,1247858.95,412.33
2680727.48,1247859.55,412.3
2680727.49,1247860.15,412.34
2680727.52,1247861.47,412.3
2680728.69,1247856.87,412.31
