"","OBJECTID","Status","BaumGattun","xtf_id","BaumArtLat","Kategorie","Pflanzjahr","Baumtyp","Quartier","Strasse","BaumNameLa","Baumnummer","POI_ID","BaumNameDe","Baumtyptex","Genauigkei","geometry"
"3",3,"Grünanlage","nicht identifiziert","2",NA,"Parkbaum",NA,"0","Sihlfeld",NA,"nicht identifiziert","WD-6497","bm_2","nicht identifiziert","nicht zugeordnet","Bildschirmeingabe",c(2680870.11010742, 1247762.44012451)
"1700",1654,"Grünanlage","Picea","1653","abies","Parkbaum","1870","0","Sihlfeld",NA,"Picea abies","WD-4052","bm_1653","Rottanne, Fichte","nicht zugeordnet","Bildschirmeingabe",c(2680693.96008301, 1247884.18011475)
"1706",1660,"Grünanlage","Carpinus","1659","betulus","Parkbaum",NA,"4","Sihlfeld",NA,"Carpinus betulus","WD-4055","bm_1659","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680674.06011963, 1247826.72009277)
"2038",1992,"Grünanlage","Carpinus","1991","betulus","Parkbaum",NA,"4","Sihlfeld",NA,"Carpinus betulus","WD-5972","bm_1991","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680904.75012207, 1247516.62011719)
"2039",1993,"Grünanlage","Acer","1992","saccharinum","Parkbaum",NA,"0","Sihlfeld",NA,"Acer saccharinum","WD-5973","bm_1992","Silber-Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680908.19012451, 1247520.72009277)
"2040",1994,"Grünanlage","Betula","1993","pendula","Parkbaum",NA,"4","Sihlfeld",NA,"Betula pendula","WD-5974","bm_1993","Sand-Birke, Weiss-Birke","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680916.28009033, 1247529.16009522)
"2041",1995,"Grünanlage","Betula","1994","pendula","Parkbaum",NA,"4","Sihlfeld",NA,"Betula pendula","WD-5975","bm_1994","Sand-Birke, Weiss-Birke","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680921.00012207, 1247528.38012695)
"2042",1996,"Grünanlage","Pinus","1995","sylvestris","Parkbaum",NA,"0","Sihlfeld",NA,"Pinus sylvestris","WD-5976","bm_1995","Gewöhnlicher Kiefer, Wald-Kiefer, Föhre","nicht zugeordnet","Bildschirmeingabe",c(2680935.20007324, 1247536.20007324)
"2043",1997,"Grünanlage","Pinus","1996","sylvestris","Parkbaum",NA,"0","Sihlfeld",NA,"Pinus sylvestris","WD-5977","bm_1996","Gewöhnlicher Kiefer, Wald-Kiefer, Föhre","nicht zugeordnet","Bildschirmeingabe",c(2680938.41009521, 1247540.15008545)
"2044",1998,"Grünanlage","Pinus","1997","sylvestris","Parkbaum",NA,"0","Sihlfeld",NA,"Pinus sylvestris","WD-5978","bm_1997","Gewöhnlicher Kiefer, Wald-Kiefer, Föhre","nicht zugeordnet","Bildschirmeingabe",c(2680942.94012451, 1247543.7901001)
"2045",1999,"Grünanlage","Pinus","1998","sylvestris","Parkbaum",NA,"0","Sihlfeld",NA,"Pinus sylvestris","WD-5979","bm_1998","Gewöhnlicher Kiefer, Wald-Kiefer, Föhre","nicht zugeordnet","Bildschirmeingabe",c(2680933.07012939, 1247541.00012207)
"2046",2000,"Grünanlage","Pinus","1999","sylvestris","Parkbaum",NA,"0","Sihlfeld",NA,"Pinus sylvestris","WD-5980","bm_1999","Gewöhnlicher Kiefer, Wald-Kiefer, Föhre","nicht zugeordnet","Bildschirmeingabe",c(2680937.06011963, 1247545.5701294)
"2047",2001,"Grünanlage","Pinus","2000","sylvestris","Parkbaum",NA,"0","Sihlfeld",NA,"Pinus sylvestris","WD-5981","bm_2000","Gewöhnlicher Kiefer, Wald-Kiefer, Föhre","nicht zugeordnet","Bildschirmeingabe",c(2680945.77008057, 1247532.4901123)
"2048",2002,"Grünanlage","Pinus","2001","sylvestris","Parkbaum",NA,"0","Sihlfeld",NA,"Pinus sylvestris","WD-5982","bm_2001","Gewöhnlicher Kiefer, Wald-Kiefer, Föhre","nicht zugeordnet","Bildschirmeingabe",c(2680951.07012939, 1247536.75012207)
"2049",2003,"Grünanlage","Betula","2002","pendula","Parkbaum",NA,"4","Sihlfeld",NA,"Betula pendula","WD-5983","bm_2002","Sand-Birke, Weiss-Birke","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680958.38012695, 1247543.10009766)
"2050",2004,"Grünanlage","Betula","2003","pendula","Parkbaum",NA,"4","Sihlfeld",NA,"Betula pendula","WD-5984","bm_2003","Sand-Birke, Weiss-Birke","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680968.40008545, 1247548.29010009)
"2051",2005,"Grünanlage","Acer","2004","platanoides","Parkbaum",NA,"0","Sihlfeld",NA,"Acer platanoides","WD-5985","bm_2004","Spitz-Ahorn","nicht zugeordnet","Bildschirmeingabe",c(2680974.09008789, 1247533.89007568)
"2052",2006,"Grünanlage","Betula","2005","pendula","Parkbaum",NA,"4","Sihlfeld",NA,"Betula pendula","WD-5986","bm_2005","Sand-Birke, Weiss-Birke","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680985.43011475, 1247541.55010986)
"2053",2007,"Grünanlage","Carpinus","2006","betulus","Parkbaum",NA,"4","Sihlfeld",NA,"Carpinus betulus","WD-5987","bm_2006","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680941.73010254, 1247558.89007569)
"2054",2008,"Grünanlage","Carpinus","2007","betulus","Parkbaum",NA,"4","Sihlfeld",NA,"Carpinus betulus","WD-5988","bm_2007","Gemeine Hain- oder Weissbuche","Höhe:10-20m, Breite:<10m","Bildschirmeingabe",c(2680939.45007324, 1247557.03009033)
"3162",3096,"Strassenbaum","Acer","3095","platanoides","Strassenbaum",NA,"0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-1580","bm_3095","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680718.32110596, 1247969.04412842)
"3163",3097,"Strassenbaum","Acer","3096","platanoides","Strassenbaum",NA,"0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-1581","bm_3096","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680711.76708984, 1247966.55108643)
"3164",3098,"Strassenbaum","Acer","3097","platanoides","Strassenbaum",NA,"0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-1582","bm_3097","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680705.3190918, 1247964.1140747)
"3165",3099,"Strassenbaum","Acer","3098","platanoides","Strassenbaum",NA,"0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-1611","bm_3098","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680771.61108398, 1247988.59307861)
"3166",3100,"Strassenbaum","Acer","3099","platanoides","Strassenbaum",NA,"0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-1612","bm_3099","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680767.23907471, 1247982.95507813)
"3176",3110,"Strassenbaum","Acer","3109","platanoides","Strassenbaum",NA,"0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-1813","bm_3109","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680724.82910156, 1247971.48309326)
"4761",4761,"Strassenbaum","Acer","4760","platanoides","Strassenbaum","1980","5","Sihlfeld","Zurlindenstrasse","Acer platanoides 'Globosum'","WD-2065","bm_4760","Spitz-Ahorn (kugelförmig)","Höhe:<10m, Breite:<10m","Eingemessen",c(2680988.82910156, 1247878.45410156)
"4762",4762,"Strassenbaum","Acer","4761","platanoides","Strassenbaum","1980","5","Sihlfeld","Zurlindenstrasse","Acer platanoides 'Globosum'","WD-2066","bm_4761","Spitz-Ahorn (kugelförmig)","Höhe:<10m, Breite:<10m","Eingemessen",c(2680974.80212402, 1247889.50311279)
"4763",4763,"Strassenbaum","Acer","4762","platanoides","Strassenbaum","1980","5","Sihlfeld","Zurlindenstrasse","Acer platanoides 'Globosum'","WD-2067","bm_4762","Spitz-Ahorn (kugelförmig)","Höhe:<10m, Breite:<10m","Eingemessen",c(2680967.00311279, 1247895.77508545)
"5003",5003,"Strassenbaum","Acer","5002","pseudoplatanus","Strassenbaum",NA,"0","Sihlfeld","Albisriederstrasse","Acer pseudoplatanus","WD-1781","bm_5002","Berg-Ahorn, Wald-Ahorn","nicht zugeordnet","Eingemessen",c(2680535.51611328, 1247966.25109863)
"7411",7411,"Strassenbaum","Ailanthus","7410","altissima","Strassenbaum",NA,"1","Sihlfeld","Albisriederstrasse","Ailanthus altissima","WD-1736","bm_7410","Götterbaum","Höhe:>20m, Breite:>10m","Eingemessen",c(2680516.25408936, 1247952.05108643)
"16180",16180,"Grünanlage","Tilia","16179","platyphyllos","Parkbaum",NA,"0","Sihlfeld","Albisriederstrasse","Tilia platyphyllos","WD-1613","bm_16179","Sommer-Linde","nicht zugeordnet","Eingemessen",c(2680750.45007324, 1247969.2111206)
"16181",16181,"Grünanlage","Tilia","16180","platyphyllos","Parkbaum",NA,"0","Sihlfeld","Albisriederstrasse","Tilia platyphyllos","WD-1614","bm_16180","Sommer-Linde","nicht zugeordnet","Eingemessen",c(2680746.86309814, 1247964.74810791)
"16182",16182,"Grünanlage","Tilia","16181","platyphyllos","Parkbaum",NA,"0","Sihlfeld","Albisriederstrasse","Tilia platyphyllos","WD-1615","bm_16181","Sommer-Linde","nicht zugeordnet","Eingemessen",c(2680742.50311279, 1247959.52709961)
"16183",16183,"Grünanlage","Tilia","16182","platyphyllos","Parkbaum",NA,"0","Sihlfeld","Albisriederstrasse","Tilia platyphyllos","WD-1616","bm_16182","Sommer-Linde","nicht zugeordnet","Eingemessen",c(2680737.66308594, 1247963.13909912)
"16184",16184,"Grünanlage","Tilia","16183","platyphyllos","Parkbaum",NA,"0","Sihlfeld","Albisriederstrasse","Tilia platyphyllos","WD-1829","bm_16183","Sommer-Linde","nicht zugeordnet","Eingemessen",c(2680732.78210449, 1247967.00610351)
"17595",17595,"Strassenbaum","Acer","17594","pseudoplatanus","Strassenbaum","2005","0","Sihlfeld","Albisriederstrasse","Acer pseudoplatanus","WD-2717","bm_17594","Berg-Ahorn, Wald-Ahorn","nicht zugeordnet","Eingemessen",c(2680544.31207275, 1247966.95910644)
"20765",20765,"Strassenbaum","Acer","20764","platanoides","Strassenbaum","2006","0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-2919","bm_20764","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680665.58007812, 1247977.46612549)
"20766",20766,"Strassenbaum","Acer","20765","platanoides","Strassenbaum","2006","0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-2920","bm_20765","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680654.72412109, 1247975.68011475)
"20767",20767,"Strassenbaum","Acer","20766","platanoides","Strassenbaum","2006","0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-2921","bm_20766","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680643.7401123, 1247974.30407715)
"20768",20768,"Strassenbaum","Acer","20767","platanoides","Strassenbaum","2006","0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-2922","bm_20767","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680634.38909912, 1247973.519104)
"20769",20769,"Strassenbaum","Acer","20768","platanoides","Strassenbaum","2006","0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-2923","bm_20768","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680623.98907471, 1247972.6361084)
"20770",20770,"Strassenbaum","Acer","20769","platanoides","Strassenbaum","2006","0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-2924","bm_20769","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680614.15411377, 1247971.94610596)
"20771",20771,"Strassenbaum","Acer","20770","platanoides","Strassenbaum","2006","0","Sihlfeld","Albisriederstrasse","Acer platanoides","WD-2925","bm_20770","Spitz-Ahorn","nicht zugeordnet","Eingemessen",c(2680604.03808594, 1247971.27612305)
